SYMBOL,GROUP,Samples,Gated_Accuracy,Gated_Macro_F1,Base_Model_Accuracy,Momentum_Accuracy,Majority_Accuracy,Gated_vs_Base,Gated_vs_Momentum,Gated_vs_Majority
RELIANCE.NS,OTHER,1139,38.45,35.42,39.86,33.45,33.1,-1.41,5.0,5.35
ICICIBANK.NS,BANKING,1139,38.19,33.14,40.91,33.89,25.99,-2.72,4.3,12.2
LT.NS,OTHER,1139,38.02,37.92,38.81,32.48,30.2,-0.79,5.54,7.82
HDFCBANK.NS,BANKING,1139,37.4,31.74,41.62,35.12,28.09,-4.22,2.28,9.31
BHARTIARTL.NS,OTHER,1139,35.91,34.73,38.02,32.31,26.16,-2.11,3.6,9.75
SBIN.NS,BANKING,1139,35.47,34.25,35.82,34.68,30.82,-0.35,0.79,4.65
MARUTI.NS,OTHER,1139,35.03,34.83,35.03,32.31,33.89,0.0,2.72,1.14
AXISBANK.NS,BANKING,1139,34.86,34.19,37.14,32.57,31.61,-2.28,2.29,3.25
KOTAKBANK.NS,BANKING,1139,34.59,33.36,36.7,31.34,33.27,-2.11,3.25,1.32
SUNPHARMA.NS,OTHER,1139,34.06,33.6,33.98,32.92,29.94,0.08,1.14,4.12
INFY.NS,IT,1139,33.98,33.19,34.86,32.13,38.81,-0.88,1.85,-4.83
ITC.NS,OTHER,1140,33.6,32.38,33.51,33.42,33.07,0.09,0.18,0.53
WIPRO.NS,IT,1139,33.01,32.93,32.84,36.61,38.37,0.17,-3.6,-5.36
HCLTECH.NS,IT,1139,31.17,30.46,31.26,36.08,35.21,-0.09,-4.91,-4.04
TCS.NS,IT,1139,31.17,30.95,35.29,32.92,39.07,-4.12,-1.75,-7.9
