SYMBOL,Samples,Model_Accuracy,Model_Macro_F1,Model_Balanced_Accuracy,Majority_Accuracy,Momentum_Accuracy,Improvement_vs_Majority,Improvement_vs_Momentum
ICICIBANK.NS,1139,40.91,36.3,36.76,25.99,33.89,14.92,7.02
HDFCBANK.NS,1139,41.62,34.98,36.61,28.09,35.12,13.53,6.5
BHARTIARTL.NS,1139,38.02,36.82,36.98,26.16,32.31,11.86,5.71
LT.NS,1139,38.81,38.32,38.78,30.2,32.48,8.61,6.33
RELIANCE.NS,1139,39.86,35.61,37.39,33.1,33.45,6.76,6.41
AXISBANK.NS,1139,37.14,36.62,36.95,31.61,32.57,5.53,4.57
SBIN.NS,1139,35.82,35.08,35.67,30.82,34.68,5.0,1.14
SUNPHARMA.NS,1139,33.98,33.32,33.89,29.94,32.92,4.04,1.06
KOTAKBANK.NS,1139,36.7,35.52,35.95,33.27,31.34,3.43,5.36
MARUTI.NS,1139,35.03,34.54,35.05,33.89,32.31,1.14,2.72
ITC.NS,1140,33.51,31.26,32.89,33.07,33.42,0.44,0.09
TCS.NS,1139,35.29,34.12,36.17,39.07,32.92,-3.78,2.37
HCLTECH.NS,1139,31.26,31.24,31.41,35.21,36.08,-3.95,-4.82
INFY.NS,1139,34.86,34.75,35.46,38.81,32.13,-3.95,2.73
WIPRO.NS,1139,32.84,32.73,33.26,38.37,36.61,-5.53,-3.77
